/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:5:260: error: element "Module" not allowed anywhere; expected element "PP"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:566:95: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:568:70: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:572:73: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:600:29: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:604:19: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:684:122: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:688:13: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:689:67: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:694:105: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:696:138: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:705:27: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:729:29: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:733:19: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:814:15: error: element "man-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:821:20: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1057:17: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1062:20: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1130:17: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1135:20: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1147:20: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1453:17: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1455:16: error: element "mod-sars" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1456:15: error: element "opt-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1459:17: error: element "opt-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1464:20: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "description", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1524:17: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "description", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1526:16: error: element "sel-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1527:16: error: element "obj-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1528:20: error: element "impl-dep-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1531:17: error: element "impl-dep-sfrs" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1536:20: error: element "mod-def" not allowed here; expected the element end-tag
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1548:39: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "description", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1573:17: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "description", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1582:48: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "description", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1640:17: error: element "depends" not allowed here; expected the element end-tag or element "audit", "audit-event", "comp-lev", "consistency-rationale", "dependencies", "description", "exportable", "f-element", "importable", "management" or "note"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1642:31: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1679:14: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1680:71: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:1696:18: error: element "sec:Security_Requirements" incomplete; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
